"Destination Instance","Destination Function","CR Instance","Input CR#","Input SSS","Source Instance","Source Signal","MCXE315_MCXE316_100hdqfp","MCXE315_MCXE316_48lqfp"
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT44","",""
"eMIOS_0","eMIOS_0_CH[15]_H","SIUL","SIUL_IMCR575","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC1","39","19"
"","","","","0000_0010","IO_PAD","PTA13","89","41"
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT45","",""
"eMIOS_0","eMIOS_0_CH[16]_X","SIUL","SIUL_IMCR576","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD0","4","2"
"","","","","0000_0010","IO_PAD","PTC5","95","45"
"","","","","0000_0011","IO_PAD","PTD10","36",""
"eMIOS_0","eMIOS_0_CH[17]_Y","SIUL","SIUL_IMCR577","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD1","3","1"
"","","","","0000_0010","IO_PAD","PTA0","79","38"
"","","","","0000_0011","IO_PAD","PTD11","35",""
"eMIOS_0","eMIOS_0_CH[18]_Y","SIUL","SIUL_IMCR578","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD12","34",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTD17","20",""
"eMIOS_0","eMIOS_0_CH[19]_Y","SIUL","SIUL_IMCR579","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTD5","33","18"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTE3","18",""
"eMIOS_0","eMIOS_0_CH[1]_G","SIUL","SIUL_IMCR561","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC1","39","19"
"","","","","0000_0010","IO_PAD","PTB13","67","32"
"","","","","0000_0011","IO_PAD","PTD16","21",""
"","","","","0000_0100","IO_PAD","PTE11","5",""
"","","","","0000_0101","TRGMUX","TRGMUX_INT_OUT32","",""
"eMIOS_0","eMIOS_0_CH[20]_Y","SIUL","SIUL_IMCR580","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD13","25",""
"","","","","0000_0010","IO_PAD","PTE10","6",""
"eMIOS_0","eMIOS_0_CH[21]_Y","SIUL","SIUL_IMCR581","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD14","24",""
"","","","","0000_0010","IO_PAD","PTE11","5",""
"eMIOS_0","eMIOS_0_CH[22]_X","SIUL","SIUL_IMCR582","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE15","2",""
"","","","","0000_0010","IO_PAD","PTC12","50",""
"","","","","0000_0011","-","disable low","",""
"eMIOS_0","eMIOS_0_CH[23]_X","SIUL","SIUL_IMCR583","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC13","49",""
"","","","","0000_0010","IO_PAD","PTE16","1",""
"eMIOS_0","eMIOS_0_CH[2]_G","SIUL","SIUL_IMCR562","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD0","4","2"
"","","","","0000_0010","IO_PAD","PTC2","30","17"
"","","","","0000_0011","IO_PAD","PTB14","66",""
"","","","","0000_0100","IO_PAD","PTD5","33","18"
"","","","","0000_0101","TRGMUX","TRGMUX_INT_OUT33","",""
"eMIOS_0","eMIOS_0_CH[3]_G","SIUL","SIUL_IMCR563","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB15","65",""
"","","","","0000_0010","IO_PAD","PTD1","3","1"
"","","","","0000_0011","IO_PAD","PTC3","29","16"
"","","","","0000_0100","IO_PAD","PTB0","54","26"
"","","","","0000_0101","IO_PAD","PTE2","85",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT34","",""
"eMIOS_0","eMIOS_0_CH[4]_G","SIUL","SIUL_IMCR564","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB4","28","15"
"","","","","0000_0010","IO_PAD","PTB16","64",""
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT35","",""
"eMIOS_0","eMIOS_0_CH[5]_G","SIUL","SIUL_IMCR565","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB5","27","14"
"","","","","0000_0010","IO_PAD","PTB17","63",""
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT36","",""
"eMIOS_0","eMIOS_0_CH[6]_G","SIUL","SIUL_IMCR566","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE8","26","13"
"","","","","0000_0010","IO_PAD","PTA17","",""
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT37","",""
"","","","","0000_0100","IO_PAD","PTC10","52",""
"eMIOS_0","eMIOS_0_CH[7]_G","SIUL","SIUL_IMCR567","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE9","23","12"
"","","","","0000_0010","IO_PAD","PTE7","59",""
"","","","","0000_0011","IO_PAD","PTB1","53","25"
"","","","","0000_0100","TRGMUX","TRGMUX_INT_OUT38","",""
"eMIOS_0","eMIOS_0_CH[8]_X","SIUL","SIUL_IMCR568","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB2","48","24"
"","","","","0000_0010","IO_PAD","PTC4","96","46"
"","","","","0000_0011","-","disable low","",""
"eMIOS_0","eMIOS_0_CH[9]_H","SIUL","SIUL_IMCR569","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA1","78","37"
"","","","","0000_0010","IO_PAD","PTB3","47","23"
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT39","",""
"eMIOS_1","eMIOS_1_CH[0]_X","SIUL","SIUL_IMCR592","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTA0","79","38"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTC10","52",""
"eMIOS_1","eMIOS_1_CH[10]_H","SIUL","SIUL_IMCR602","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTD10","36",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","TRGMUX","TRGMUX_INT_OUT56","",""
"","","","","0000_0110","IO_PAD","PTB4","28","15"
"eMIOS_1","eMIOS_1_CH[11]_H","SIUL","SIUL_IMCR603","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA7","57","29"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","TRGMUX","TRGMUX_INT_OUT57","",""
"","","","","0000_0101","IO_PAD","PTB5","27","14"
"eMIOS_1","eMIOS_1_CH[12]_H","SIUL","SIUL_IMCR604","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTA8","100",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTD6","32",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT58","",""
"eMIOS_1","eMIOS_1_CH[13]_H","SIUL","SIUL_IMCR605","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA6","58",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","TRGMUX","TRGMUX_INT_OUT59","",""
"","","","","0000_0101","IO_PAD","PTE9","23","12"
"eMIOS_1","eMIOS_1_CH[14]_H","SIUL","SIUL_IMCR606","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","TRGMUX","TRGMUX_INT_OUT60","",""
"","","","","0000_0101","IO_PAD","PTE6","84",""
"","","","","0000_0110","IO_PAD","PTD15","22","11"
"eMIOS_1","eMIOS_1_CH[15]_H","SIUL","SIUL_IMCR607","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","TRGMUX","TRGMUX_INT_OUT61","",""
"","","","","0000_0110","IO_PAD","PTB8","77",""
"","","","","0000_0111","IO_PAD","PTD16","21",""
"eMIOS_1","eMIOS_1_CH[16]_X","SIUL","SIUL_IMCR608","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTB9","76",""
"eMIOS_1","eMIOS_1_CH[17]_Y","SIUL","SIUL_IMCR609","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTB10","75",""
"eMIOS_1","eMIOS_1_CH[18]_Y","SIUL","SIUL_IMCR610","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTB11","74",""
"eMIOS_1","eMIOS_1_CH[19]_Y","SIUL","SIUL_IMCR611","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTA2","73","36"
"eMIOS_1","eMIOS_1_CH[1]_H","SIUL","SIUL_IMCR593","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTA11","91","43"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT48","",""
"","","","","0000_0111","IO_PAD","PTC11","51",""
"eMIOS_1","eMIOS_1_CH[20]_Y","SIUL","SIUL_IMCR612","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTA3","72","35"
"eMIOS_1","eMIOS_1_CH[21]_Y","SIUL","SIUL_IMCR613","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTD2","71","34"
"eMIOS_1","eMIOS_1_CH[22]_X","SIUL","SIUL_IMCR614","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTD3","70","33"
"eMIOS_1","eMIOS_1_CH[23]_X","SIUL","SIUL_IMCR615","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTD4","69",""
"eMIOS_1","eMIOS_1_CH[2]_H","SIUL","SIUL_IMCR594","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC12","50",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTA12","90","42"
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT49","",""
"eMIOS_1","eMIOS_1_CH[3]_H","SIUL","SIUL_IMCR595","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTA13","89","41"
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT50","",""
"","","","","0000_0111","IO_PAD","PTC13","49",""
"eMIOS_1","eMIOS_1_CH[4]_H","SIUL","SIUL_IMCR596","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT51","",""
"","","","","0000_0111","IO_PAD","PTA14","88",""
"","","","","0000_1000","IO_PAD","PTC14","46","22"
"eMIOS_1","eMIOS_1_CH[5]_H","SIUL","SIUL_IMCR597","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB1","53","25"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTE13","7",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTE12","19",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","TRGMUX","TRGMUX_INT_OUT52","",""
"eMIOS_1","eMIOS_1_CH[6]_H","SIUL","SIUL_IMCR598","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB0","54","26"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTC6","81","40"
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT53","",""
"eMIOS_1","eMIOS_1_CH[7]_H","SIUL","SIUL_IMCR599","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTC7","80","39"
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","TRGMUX","TRGMUX_INT_OUT54","",""
"","","","","0000_0111","IO_PAD","PTB17","63",""
"eMIOS_1","eMIOS_1_CH[8]_X","SIUL","SIUL_IMCR600","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC9","55","27"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","IO_PAD","PTE2","85",""
"eMIOS_1","eMIOS_1_CH[9]_H","SIUL","SIUL_IMCR601","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC8","56","28"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","TRGMUX","TRGMUX_INT_OUT55","",""
"","","","","0000_0101","IO_PAD","PTC16","44","20"
"FCCU","FCCU_ERR_IN0","SIUL","SIUL_IMCR660","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA2","73","36"
"","","","","0000_0010","IO_PAD","PTE15","2",""
"","","","","0000_0011","-","disable low","",""
"FCCU","FCCU_ERR_IN1","SIUL","SIUL_IMCR661","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA3","72","35"
"","","","","0000_0010","IO_PAD","PTE16","1",""
"","","","","0000_0011","-","disable low","",""
"FXIO","FXIO_D0","SIUL","SIUL_IMCR664","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD0","4","2"
"","","","","0000_0010","IO_PAD","PTA10","92","44"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTD9","41",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","-","disable low","",""
"FXIO","FXIO_D1","SIUL","SIUL_IMCR665","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD1","3","1"
"","","","","0000_0010","IO_PAD","PTA11","91","43"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTD8","42",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","-","disable low","",""
"","","","","0000_1000","-","disable low","",""
"FXIO","FXIO_D10","SIUL","SIUL_IMCR674","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD15","22","11"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC7","80","39"
"","","","","0000_0100","IO_PAD","PTD9","41",""
"","","","","0000_0101","-","disable low","",""
"FXIO","FXIO_D11","SIUL","SIUL_IMCR675","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE9","23","12"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC6","81","40"
"","","","","0000_0100","IO_PAD","PTE7","59",""
"","","","","0000_0101","IO_PAD","PTD8","42",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","-","disable low","",""
"FXIO","FXIO_D12","SIUL","SIUL_IMCR676","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE8","26","13"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC8","56","28"
"","","","","0000_0100","IO_PAD","PTE6","84",""
"","","","","0000_0101","-","disable low","",""
"FXIO","FXIO_D13","SIUL","SIUL_IMCR677","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD6","32",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC9","55","27"
"","","","","0000_0100","IO_PAD","PTE2","85",""
"","","","","0000_0101","-","disable low","",""
"FXIO","FXIO_D14","SIUL","SIUL_IMCR678","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC17","43",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTB0","54","26"
"","","","","0000_0100","IO_PAD","PTA14","88",""
"","","","","0000_0101","-","disable low","",""
"FXIO","FXIO_D15","SIUL","SIUL_IMCR679","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC16","44","20"
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTC11","51",""
"","","","","0000_0100","IO_PAD","PTD5","33","18"
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","-","disable low","",""
"FXIO","FXIO_D2","SIUL","SIUL_IMCR666","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE15","2",""
"","","","","0000_0010","IO_PAD","PTA0","79","38"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","-","disable low","",""
"","","","","0000_1000","IO_PAD","PTE1","93",""
"","","","","0000_1001","-","disable low","",""
"","","","","0000_1010","IO_PAD","PTC17","43",""
"FXIO","FXIO_D3","SIUL","SIUL_IMCR667","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA1","78","37"
"","","","","0000_0010","IO_PAD","PTE16","1",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","IO_PAD","PTE0","94",""
"","","","","0000_1000","-","disable low","",""
"","","","","0000_1001","IO_PAD","PTD6","32",""
"FXIO","FXIO_D4","SIUL","SIUL_IMCR668","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD2","71","34"
"","","","","0000_0010","IO_PAD","PTE10","6",""
"","","","","0000_0011","IO_PAD","PTA2","73","36"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","IO_PAD","PTC5","95","45"
"","","","","0000_1000","-","disable low","",""
"FXIO","FXIO_D5","SIUL","SIUL_IMCR669","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE11","5",""
"","","","","0000_0010","IO_PAD","PTD3","70","33"
"","","","","0000_0011","IO_PAD","PTA3","72","35"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","IO_PAD","PTE13","7",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","IO_PAD","PTC1","39","19"
"","","","","0000_1000","IO_PAD","PTC4","96","46"
"","","","","0000_1001","-","disable low","",""
"","","","","0000_1010","-","disable low","",""
"","","","","0000_1011","-","disable low","",""
"FXIO","FXIO_D6","SIUL","SIUL_IMCR670","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTA8","100",""
"","","","","0000_0011","IO_PAD","PTD2","71","34"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTE3","18",""
"","","","","0000_0111","IO_PAD","PTD15","22","11"
"","","","","0000_1000","IO_PAD","PTA4","98","48"
"","","","","0000_1001","-","disable low","",""
"","","","","0000_1010","-","disable low","",""
"FXIO","FXIO_D7","SIUL","SIUL_IMCR671","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTA9","99",""
"","","","","0000_0011","IO_PAD","PTD3","70","33"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","-","disable low","",""
"","","","","0000_0111","IO_PAD","PTD13","25",""
"","","","","0000_1000","-","disable low","",""
"","","","","0000_1001","IO_PAD","PTE12","19",""
"FXIO","FXIO_D8","SIUL","SIUL_IMCR672","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTE12","19",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTB13","67","32"
"","","","","0000_0100","IO_PAD","PTA13","89","41"
"","","","","0000_0101","IO_PAD","PTE8","26","13"
"","","","","0000_0110","-","disable low","",""
"FXIO","FXIO_D9","SIUL","SIUL_IMCR673","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD17","20",""
"","","","","0000_0010","-","disable low","",""
"","","","","0000_0011","IO_PAD","PTA7","57","29"
"","","","","0000_0100","IO_PAD","PTA12","90","42"
"","","","","0000_0101","-","disable low","",""
"HSE","HSE_TAMPER_EXTIN0","SIUL","SIUL_IMCR855","0000_0000","-","disable high","",""
"","","","","0000_0001","IO_PAD","PTB1","53","25"
"","","","","0000_0010","-","disable high","",""
"","","","","0000_0011","-","disable high","",""
"","","","","0000_0100","-","disable high","",""
"JTAG","JTAG_TCK/SWD_CLK","SIUL","SIUL_IMCR696","0000_0000","IO_PAD","PTC4","96","46"
"","","","","0000_0001","-","disable low","",""
"JTAG","JTAG_TDI","SIUL","SIUL_IMCR697","0000_0000","IO_PAD","PTC5","95","45"
"","","","","0000_0001","-","disable low","",""
"JTAG","JTAG_TMS/SWD_DIO","SIUL","SIUL_IMCR698","0000_0000","IO_PAD","PTA4","98","48"
"","","","","0000_0001","-","disable low","",""
"LPI2C0","LPI2C0_HREQ","SIUL","SIUL_IMCR723","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB11","74",""
"","","","","0000_0010","IO_PAD","PTC7","80","39"
"LPI2C0","LPI2C0_SCL","SIUL","SIUL_IMCR724","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC8","56","28"
"","","","","0000_0010","IO_PAD","PTD14","24",""
"","","","","0000_0011","-","disable low","",""
"LPI2C0","LPI2C0_SCLS","SIUL","SIUL_IMCR725","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB1","53","25"
"LPI2C0","LPI2C0_SDA","SIUL","SIUL_IMCR726","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC9","55","27"
"","","","","0000_0010","IO_PAD","PTD13","25",""
"","","","","0000_0011","-","disable low","",""
"LPI2C0","LPI2C0_SDAS","SIUL","SIUL_IMCR727","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB0","54","26"
"LPI2C1","LPI2C1_HREQ","SIUL","SIUL_IMCR728","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD12","34",""
"","","","","0000_0010","IO_PAD","PTC5","95","45"
"LPI2C1","LPI2C1_SCL","SIUL","SIUL_IMCR729","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC7","80","39"
"","","","","0000_0010","IO_PAD","PTD9","41",""
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTC15","45","21"
"","","","","0000_0111","IO_PAD","PTC4","96","46"
"LPI2C1","LPI2C1_SCLS","SIUL","SIUL_IMCR730","0000_0000","-","disable low","",""
"","","","","0000_0001","-","disable low","",""
"","","","","0000_0010","IO_PAD","PTC17","43",""
"LPI2C1","LPI2C1_SDA","SIUL","SIUL_IMCR731","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD8","42",""
"","","","","0000_0010","IO_PAD","PTC6","81","40"
"","","","","0000_0011","-","disable low","",""
